State,Sector,GDP,Population,Demand,Inflation,Budget
Andhra Pradesh,Health,1800,350,0.90,6,85000
Andhra Pradesh,Education,1500,320,0.80,6,76000
Andhra Pradesh,Agriculture,2200,500,0.95,5,92000
Andhra Pradesh,Infrastructure,2100,420,0.88,6,95000
Andhra Pradesh,Energy,1900,380,0.85,6,87000
Telangana,Health,1700,300,0.85,6,82000
Telangana,Education,1400,280,0.78,6,70000
Telangana,Agriculture,2000,450,0.92,5,88000
Telangana,Infrastructure,1950,360,0.84,6,86000
Telangana,Energy,1850,340,0.82,6,84000
Karnataka,Health,2000,360,0.90,6,90000
Karnataka,Education,1800,330,0.85,6,86000
Karnataka,Agriculture,2400,520,0.96,5,97000
Karnataka,Infrastructure,2300,410,0.89,6,94000
Karnataka,Energy,2100,390,0.87,6,91000
Tamil Nadu,Health,2100,370,0.92,6,92000
Tamil Nadu,Education,1900,340,0.86,6,88000
Tamil Nadu,Agriculture,2300,500,0.95,5,96000
Tamil Nadu,Infrastructure,2400,420,0.91,6,98000
Tamil Nadu,Energy,2200,400,0.88,6,93000
Maharashtra,Health,2500,420,0.94,6,105000
Maharashtra,Education,2300,400,0.90,6,101000
Maharashtra,Agriculture,2600,520,0.96,5,108000
Maharashtra,Infrastructure,2700,450,0.93,6,112000
Maharashtra,Energy,2550,430,0.91,6,107000
Gujarat,Health,2000,360,0.88,6,89000
Gujarat,Education,1800,330,0.82,6,84000
Gujarat,Agriculture,2300,500,0.94,5,96000
Gujarat,Infrastructure,2200,410,0.89,6,92000
Gujarat,Energy,2100,390,0.87,6,90000
Rajasthan,Health,1700,350,0.84,6,81000
Rajasthan,Education,1500,320,0.80,6,76000
Rajasthan,Agriculture,2100,480,0.92,5,90000
Rajasthan,Infrastructure,2000,390,0.86,6,87000
Rajasthan,Energy,1900,370,0.83,6,85000
Uttar Pradesh,Health,2600,600,0.96,6,110000
Uttar Pradesh,Education,2400,580,0.92,6,106000
Uttar Pradesh,Agriculture,2800,650,0.98,5,115000
Uttar Pradesh,Infrastructure,2700,620,0.94,6,112000
Uttar Pradesh,Energy,2550,600,0.90,6,108000
West Bengal,Health,2100,420,0.90,6,91000
West Bengal,Education,1900,390,0.86,6,87000
West Bengal,Agriculture,2300,500,0.94,5,96000
West Bengal,Infrastructure,2200,430,0.89,6,92000
West Bengal,Energy,2050,410,0.86,6,89000
Kerala,Health,2000,330,0.91,6,90000
Kerala,Education,1850,310,0.88,6,87000
Kerala,Agriculture,2100,360,0.90,5,91000
Kerala,Infrastructure,2050,340,0.87,6,89000
Kerala,Energy,1950,320,0.85,6,87000
